team,hex_code,logo
Arsenal,#EF0107,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
Aston Villa,#95BFE5,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
Brentford,#FFC600,https://a.espncdn.com/i/teamlogos/soccer/500/337.png
Brighton,#0057B8,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
Burnley,#6C1D45,https://a.espncdn.com/i/teamlogos/soccer/500/379.png
Chelsea,#034694,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
Crystal Palace,#1B458F,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
Everton,#003399,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
Leeds,#FFCD00,https://a.espncdn.com/i/teamlogos/soccer/500/357.png
Leicester,#0053A0,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
Liverpool,#C8102E,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
Man City,#6CABDD,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
Man United,#E03A3E,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
Newcastle,#241F20,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
Norwich,#00A650,https://a.espncdn.com/i/teamlogos/soccer/500/381.png
Southampton,#D71920,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Tottenham,#FFFFFF,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
Watford,#FBEE23,https://a.espncdn.com/i/teamlogos/soccer/500/395.png
West Ham,#7A263A,https://a.espncdn.com/i/teamlogos/soccer/500/371.png
Wolves,#FDB913,https://a.espncdn.com/i/teamlogos/soccer/500/380.png
